,Pdf_Name,Encrypt_sha256,address,claim,date,details,form,insurance,insured,name,number,policy
50,nonInsurance3.pdf,0094dda47d9175ac0f43b59f3e834ecd3d5c5e22c4852f5332abe5a486aa0254,1,0,0,0,1,0,0,0,1,0
51,nonInsurance4.pdf,96d6197185567cff9ceef4077c2cafafd5a85c050ff0a2e8f5f9fb1d91030005,0,0,0,0,1,0,0,0,0,0
52,nonInsurance5.pdf,76d7a600c668da3b60ee87e5485e238a14781e95c6b4eb372f286acaf14a7f7b,0,0,1,0,1,0,0,0,0,0
53,nonInsurance6.pdf,29569c007fd60e074ccf3c6cd5c2ea8adca1a6458f99bb8674d50200c4f7eb6b,0,0,0,0,1,0,0,0,1,0
54,Overseas-Travel-Insurance-Claim-Form.pdf,ea2245e958c0fb279d0d7bbf50dea70391586a5ba6904862d9014a4118481817,1,1,1,1,1,1,1,1,0,1
55,PERSONAL-ACCIDENT-INSURANCE-FOR-KISAN-CREDIT-CARD-HOLDERS-CLAIM-FORM.pdf,2a1cca543d1e9d9c3d144564a9e4fb4f64f99a18fa039406dadbd48d0118dc67,1,1,1,1,1,1,1,1,1,1
56,PMFBYClaimForm.pdf,b8345eb824babe3d7fdd7b73402469b4281d6c9b90931f8c4cbb99fae6fece0f,1,1,1,1,1,1,1,1,1,1
57,ProfessionalIndemnity_ClaimForm.pdf,3f17bdd3fb49eb47d577e07737bbaf0a27f80e7047b1aa3cc159830d7b0788ca,1,1,1,1,1,1,1,1,1,1
58,Sanction of incentives-Commisionarate of industries.pdf,0ad335e0cdbb383bc90c8716966aac86bba5672a0f712d7d6ee67c281417d76a,1,0,1,1,0,0,0,1,1,1
59,SHRI-CONTRACTORS-PROTECTION-PACKAGE-POLICY-CLAIM-FORM.pdf,9a45f1c8ef7b94222797160c949c8c76a80508548d12c912109375658c42dc39,0,1,1,1,1,1,1,1,1,1
60,Shri-Education-Shield-Insurance-Policy-Claim-Form.pdf,46cb2b96c22a14c1c867cab624ab057a47f163337180048c7359390cff8d1655,1,1,0,1,1,1,1,1,1,1
61,Shri-HotelandRestaurant-Sampurna-Surksha-Insurance-Policy-Claim-Form.pdf,f03e6f108789b06455770c95cb4b0a02f77bee880520577a5e905f50e0326da6,1,1,0,1,1,1,1,1,1,1
62,Shri-Loan-Protect-Insurance-Claim-Form.pdf,3ac185890655baa33452d64ce9e8543c79a62f7dac9e44ba5d3b363bdade8a23,1,1,1,1,1,1,1,1,1,1
63,Shri_CLL_Claim_Form.pdf,2b6903d7fbfa8c9866e26c275cfd35265931284304d3685041c6cc20d1a5cb82,1,1,1,1,1,1,1,1,1,1
64,Shri_Home_Care_Insurance_Policy_Claim_Form.pdf,668cd4c741e01ed28b1e5c50b2f2cc06050498a27478834ab25d05409a0dd944,0,1,0,1,1,1,1,0,1,1
65,Shri_Micro_IPA_Claim_Form.pdf,8bd6c1d697d238d8708c05a99f25cca5a7f976b2f70fe0f92d38f14fde3ef0ad,1,1,1,1,1,1,1,1,1,1
66,Shri_Vector_Care_Claim_Form.pdf,a44d98ca5bc73444adeef9f65062fca51cb549438329ba893620ff8fe0b9bcf1,1,1,1,1,1,1,1,1,1,1
67,SPDCL -Registration for Agriculture Group Connection Application Form.pdf,e787d956dba4e88d07f830d7382c5768ceaa5b80b0347311c30284e6de20421d,0,0,0,1,0,0,0,1,1,0
68,SPDCL-HVDS Registration Application Form.pdf,442c8de538d88eb533e9640e1a3cfa9dbb692459c47c465048fe29b04b4529f0,1,0,0,1,1,0,0,1,1,0
69,Student Scholarship Application Form (Fresh).pdf,bc5f8b50a04e37b3f11bd3aebf9aa86c0d6fdb8f6cbbbe2ff20030f274c6bb99,1,0,1,1,1,0,0,1,1,0
70,Student Scholarship Application Form (RENEWAL).pdf,63425e549dedba5bf156d6ec0dd4a3712bc462abfba0ad7404ce1f9e92a83568,1,0,1,1,1,0,0,1,1,0
71,Travel-Insurance-Claim-Form.pdf,a775a668d19f7211fede35e69f6f00f92ea7c08d11160cdf8a8b184ea3238a19,1,1,1,1,1,1,1,1,0,1
72,wc-claim_form8c0003ff45fd68ff8a0df0055f0ead16.pdf,6112d57d23212b0db9edba4e06b4a9e32593e69f28068f02ea8c72d8f7d114c7,1,1,1,1,1,1,1,1,1,1
