Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-December-2016,224.00,224.95,215.20,216.90,220.934673072416217483,17068,628,3770913.00,3300,19.33,9.75,-7.10
21-December-2016,234.90,234.90,221.60,222.85,224.793092862624712202,6515,471,1464527.00,2267,34.80,13.30,-12.05
20-December-2016,232.70,243.85,223.00,223.50,234.073075293472571841,40123,1415,9391714.00,7737,19.28,20.85,-9.20
19-December-2016,228.90,232.35,225.60,228.20,228.699215070643642072,3185,136,728407.00,1295,40.66,6.75,-0.70
16-December-2016,227.55,236.80,225.50,226.10,229.851900826446280991,9075,538,2085906.00,3361,37.04,11.30,-1.45
15-December-2016,227.65,238.95,225.00,225.80,230.890360256621154795,12158,1112,2807165.00,2696,22.17,13.95,-1.85
14-December-2016,242.65,242.90,229.00,230.35,236.321228817096585691,11979,621,2830892.00,3228,26.95,13.90,-12.30
13-December-2016,220.60,260.00,212.20,245.85,247.524394428744448930,99080,4644,24524717.00,16046,16.19,47.80,25.25
12-December-2016,226.00,234.00,220.60,221.05,223.137037037037037037,3510,185,783211.00,2300,65.53,13.40,-4.95
9-December-2016,223.85,234.10,223.85,228.10,229.465443186255368996,5122,242,1175322.00,1086,21.20,10.25,4.25
8-December-2016,232.00,234.00,223.25,224.85,226.685496183206106870,1965,107,445437.00,1355,68.96,10.75,-7.15
7-December-2016,232.95,234.00,227.00,227.45,231.177359490986214209,3772,121,872001.00,1452,38.49,7.00,-5.50
6-December-2016,237.00,240.00,229.00,229.85,235.219084853750362004,6906,239,1624423.00,3107,44.99,11.00,-7.15
5-December-2016,232.90,244.65,230.30,233.75,237.590628249831773414,16347,778,3883894.00,4256,26.04,14.35,0.85
2-December-2016,226.00,242.70,225.90,229.05,235.486638361638361638,24024,2446,5657331.00,4318,17.97,16.80,3.05
1-December-2016,244.00,252.00,229.00,231.15,236.720465463364581875,42882,1588,10151047.00,14304,33.36,23.00,-12.85
30-November-2016,202.90,241.30,202.90,241.30,230.295151340285506230,72783,2895,16761572.00,15383,21.14,38.40,38.40
29-November-2016,198.85,207.65,198.85,201.10,202.612890922959572845,5244,205,1062502.00,1075,20.50,8.80,2.25
28-November-2016,200.35,200.35,193.95,197.65,196.599693251533742331,1956,122,384549.00,892,45.60,6.40,-2.70
25-November-2016,198.20,205.00,197.95,200.70,201.022337545126353790,4432,232,890931.00,1438,32.45,7.05,2.50
24-November-2016,198.30,202.50,192.95,194.70,197.532338973981673466,14951,734,2953306.00,7080,47.35,9.55,-3.60
23-November-2016,192.15,202.90,186.95,195.40,195.487202216066481994,9025,504,1764272.00,2827,31.32,15.95,3.25
22-November-2016,193.25,211.00,181.90,188.80,197.119655490618271301,16255,869,3204180.00,5987,36.83,29.10,-4.45
21-November-2016,199.00,200.10,188.35,189.60,196.608160535117056856,7475,126,1469646.00,3709,49.62,11.75,-9.40
18-November-2016,196.30,202.00,196.00,199.70,198.993575034419458467,2179,102,433607.00,610,27.99,6.00,3.40
17-November-2016,205.80,206.00,191.10,196.30,200.157838983050847457,1888,91,377898.00,1281,67.85,14.90,-9.50
16-November-2016,212.00,216.00,205.90,207.30,208.722503160556257901,1582,84,330199.00,627,39.63,10.10,-4.70
15-November-2016,223.70,223.70,204.00,207.65,210.602141203703703703,3456,217,727841.00,2097,60.68,19.70,-16.05
11-November-2016,229.35,230.00,220.00,221.70,222.223381070983810709,6424,219,1427563.00,5010,77.99,10.00,-7.65
10-November-2016,234.90,241.95,221.10,227.70,230.190608324439701173,18740,879,4313772.00,7780,41.52,20.85,-7.20
9-November-2016,210.00,245.00,210.00,234.85,222.723470839260312944,14060,604,3131492.00,6455,45.91,35.00,24.85
8-November-2016,254.75,257.70,247.00,250.50,251.252265005662514156,3532,152,887423.00,1295,36.66,10.70,-4.25
7-November-2016,254.85,263.95,252.60,255.75,258.266564885496183206,6550,395,1691646.00,3058,46.69,11.35,0.90
4-November-2016,261.15,261.15,243.40,246.15,248.638691107407968489,6601,272,1641264.00,3085,46.74,17.75,-15.00
3-November-2016,273.30,277.00,252.00,259.80,266.862791886824612237,5867,453,1565684.00,2556,43.57,25.00,-13.50
2-November-2016,277.10,279.00,268.00,271.00,274.118334903723031576,41391,327,11346032.00,37391,90.34,11.00,-6.10
1-November-2016,283.45,296.00,273.55,282.25,285.173769542559351476,17270,925,4924951.00,4641,26.87,22.45,-1.20
30-October-2016,281.00,287.00,280.50,283.95,284.642868400315208825,6345,134,1806059.00,3721,58.64,6.50,2.95
28-October-2016,274.60,296.00,272.00,279.55,287.944153146578341660,89065,4737,25645746.00,14934,16.77,24.00,4.95
27-October-2016,305.00,306.00,270.90,274.15,287.760099723144309307,72601,2894,20891671.00,20637,28.43,35.10,-30.85
26-October-2016,246.40,290.15,246.40,290.15,282.294667044352859975,250649,4937,70756876.00,31602,12.61,43.75,43.75
25-October-2016,245.00,245.00,238.55,241.80,242.803491827637444279,2692,53,653627.00,1842,68.42,6.45,-3.20
24-October-2016,238.45,245.00,237.50,242.45,242.892883755588673621,5368,197,1303849.00,3547,66.08,7.50,4.00
21-October-2016,239.00,239.00,233.60,233.95,235.768858131487889273,1445,40,340686.00,915,63.32,5.40,-5.05
20-October-2016,239.50,240.10,236.35,239.70,238.971223021582733812,695,30,166085.00,480,69.06,3.75,0.20
19-October-2016,244.40,245.15,236.50,240.00,238.953543307086614173,2540,76,606942.00,2117,83.35,8.65,-4.40
18-October-2016,235.30,245.00,234.70,242.45,240.361973947895791583,7984,364,1919050.00,3623,45.38,10.30,7.15
17-October-2016,238.00,239.00,232.40,233.55,235.486833654463712267,1557,58,366653.00,921,59.15,6.60,-4.45
14-October-2016,233.40,242.90,233.40,236.35,239.064715447154471544,3075,126,735124.00,1547,50.31,9.50,2.95
13-October-2016,237.50,243.55,232.25,232.60,238.856733524355300859,5933,254,1417137.00,3126,52.69,11.30,-4.90
10-October-2016,234.10,243.80,231.75,234.90,237.267533075752253834,8541,429,2026502.00,2890,33.84,12.05,0.80
7-October-2016,234.90,235.30,226.80,228.40,229.514960106382978723,3008,181,690381.00,1596,53.06,8.50,-6.50
6-October-2016,227.05,238.80,227.00,233.30,232.873500352858151023,5668,249,1319927.00,3186,56.21,11.80,6.25
5-October-2016,227.80,233.50,225.20,229.00,229.929029078363725973,4058,157,933052.00,1496,36.87,8.30,1.20
4-October-2016,225.00,228.95,223.00,223.35,226.438666666666666666,1500,30,339658.00,900,60.00,5.95,-1.65
3-October-2016,227.55,229.00,223.90,227.30,226.581943081452404317,2038,83,461774.00,1311,64.33,5.10,-0.25
30-September-2016,215.65,225.30,215.00,222.75,222.519880715705765407,1006,83,223855.00,533,52.98,10.30,7.10
29-September-2016,238.20,238.30,215.00,216.70,226.445512820512820512,4680,207,1059765.00,2529,54.04,23.30,-21.50
28-September-2016,233.00,237.10,233.00,236.10,235.646133682830930537,1526,99,359596.00,766,50.20,4.10,3.10
27-September-2016,236.70,236.70,230.50,231.70,234.044713553795994410,2147,133,502494.00,1227,57.15,6.20,-5.00
26-September-2016,243.30,243.30,235.00,235.70,237.109770808202653799,829,28,196564.00,435,52.47,8.30,-7.60
23-September-2016,237.00,245.00,235.00,239.70,240.319486198414867450,3659,296,879329.00,1641,44.85,10.00,2.70
22-September-2016,235.70,237.60,232.30,234.20,234.353696969696969696,4125,197,966709.00,2144,51.98,5.30,-1.50
21-September-2016,238.05,240.00,233.00,233.95,235.595369349503858875,907,47,213685.00,606,66.81,7.00,-4.10
20-September-2016,232.35,240.45,232.35,235.65,236.911656441717791411,815,44,193083.00,395,48.47,8.10,3.30
19-September-2016,236.00,240.00,232.35,233.50,234.298597194388777555,1996,112,467660.00,1127,56.46,7.65,-2.50
16-September-2016,231.00,242.00,231.00,238.70,239.511476664116296863,2614,125,626083.00,1554,59.45,11.00,7.70
15-September-2016,232.50,244.95,213.00,233.15,234.044796457162323283,5871,291,1374077.00,2304,39.24,31.95,0.65
14-September-2016,236.10,240.00,232.00,233.60,235.749403341288782816,2933,164,691453.00,1407,47.97,8.00,-2.50
12-September-2016,239.10,239.50,234.00,235.50,236.282072368421052631,1216,30,287319.00,691,56.83,5.50,-3.60
9-September-2016,244.10,245.00,239.10,240.40,242.232804232804232804,1134,43,274692.00,868,76.54,5.90,-3.70
8-September-2016,245.05,249.75,243.00,243.75,244.594827586206896551,1044,72,255357.00,625,59.87,6.75,-1.30
7-September-2016,251.50,256.00,244.45,248.20,247.489944373127941805,2337,159,578384.00,1096,46.90,11.55,-3.30
6-September-2016,257.00,261.00,243.05,250.50,253.111301614516359479,6999,473,1771526.00,1701,24.30,17.95,-6.50
2-September-2016,237.80,247.45,237.80,241.35,242.058707934168508965,4071,220,985421.00,931,22.87,9.65,3.55
1-September-2016,233.50,248.00,233.50,238.80,241.013975155279503105,6440,254,1552130.00,1633,25.36,14.50,5.30
31-August-2016,240.60,245.00,235.00,238.15,241.758381502890173410,2595,84,627363.00,261,10.06,10.00,-2.45
30-August-2016,236.70,247.00,234.00,240.60,241.540305522914218566,4255,212,1027754.00,1557,36.59,13.00,3.90
29-August-2016,235.80,236.50,231.55,234.05,234.594084329767149150,1589,74,372770.00,895,56.32,4.95,-1.75
26-August-2016,236.20,239.00,233.05,234.85,235.962574850299401197,1336,84,315246.00,459,34.36,5.95,-1.35
25-August-2016,241.10,247.65,236.50,238.05,241.743902439024390243,4920,164,1189380.00,1359,27.62,11.15,-3.05
24-August-2016,240.00,247.70,240.00,244.05,244.443627450980392156,1224,70,299199.00,357,29.17,7.70,4.05
23-August-2016,242.60,249.40,241.05,243.15,243.555916775032509752,3076,121,749178.00,670,21.78,8.35,0.55
22-August-2016,251.70,254.50,237.50,243.15,247.194951843241448023,3011,140,744304.00,921,30.59,17.00,-8.55
19-August-2016,252.60,254.85,248.10,250.45,251.373505976095617529,6024,240,1514274.00,1945,32.29,6.75,-2.15
18-August-2016,235.10,270.50,235.00,252.15,255.630351939027123963,26766,1100,6842202.00,4994,18.66,35.50,17.05
17-August-2016,235.00,244.00,230.20,235.05,234.872917658257972394,4202,189,986936.00,1082,25.75,13.80,0.05
16-August-2016,230.00,234.15,221.00,232.90,226.648545401116661769,3403,133,771285.00,1029,30.24,13.15,2.90
12-August-2016,232.00,237.80,230.00,232.00,234.491154562383612662,2148,114,503687.00,1092,50.84,7.80,0.00
11-August-2016,241.05,243.75,231.50,234.35,237.258153192552792702,8003,301,1898777.00,5009,62.59,12.25,-6.70
10-August-2016,257.30,259.50,244.90,245.80,252.062344139650872817,8020,241,2021540.00,3765,46.95,14.60,-11.50
9-August-2016,257.00,262.50,255.00,261.25,260.956155433287482806,5816,165,1517721.00,3060,52.61,7.50,4.25
8-August-2016,254.75,262.00,252.00,258.30,258.534735594726707154,6751,195,1745368.00,3597,53.28,10.00,3.55
5-August-2016,260.20,264.00,253.95,254.95,259.726992514310876265,2271,132,589840.00,860,37.87,10.05,-5.25
4-August-2016,266.00,266.50,259.20,260.85,262.891398206575888409,3011,117,791566.00,933,30.99,7.30,-5.15
3-August-2016,271.10,274.30,261.50,262.65,267.947858806665472137,5581,234,1495417.00,2429,43.52,12.80,-8.45
2-August-2016,276.50,296.90,275.00,277.65,283.932629618131015212,12884,682,3658188.00,3865,30.00,21.90,1.15
1-August-2016,280.50,282.10,272.00,273.60,277.752415925782759953,5174,227,1437091.00,2599,50.23,10.10,-6.90
29-July-2016,283.65,284.00,277.00,278.80,280.589887640449438202,4094,199,1148735.00,570,13.92,7.00,-4.85
28-July-2016,285.60,285.60,277.10,280.40,281.526327838827838827,4368,214,1229707.00,2812,64.38,8.50,-5.20
27-July-2016,286.00,286.00,271.20,280.15,279.719374456993918331,1151,60,321957.00,887,77.06,14.80,-5.85
26-July-2016,288.50,288.85,278.00,280.10,284.267647058823529411,2380,85,676557.00,1184,49.75,10.85,-8.40
25-July-2016,291.10,291.10,287.00,288.50,288.365998917162966973,1847,60,532612.00,1247,67.51,4.10,-2.60
22-July-2016,288.00,289.50,288.00,288.40,288.568000000000000000,250,16,72142.00,150,60.00,1.50,0.40
21-July-2016,289.30,293.75,286.10,287.50,291.439150032195750160,1553,40,452605.00,1025,66.00,7.65,-1.80
20-July-2016,292.00,301.00,286.00,290.65,290.359366466411796832,1831,70,531648.00,900,49.15,15.00,-1.35
19-July-2016,289.00,290.50,287.00,287.65,288.053211009174311926,545,32,156989.00,290,53.21,3.50,-1.35
18-July-2016,290.25,292.60,286.00,287.40,288.923875432525951557,578,28,166998.00,375,64.88,6.60,-2.85
15-July-2016,291.90,297.40,283.20,284.80,287.936457734330074755,3478,201,1001443.00,2108,60.61,14.20,-7.10
14-July-2016,305.00,305.00,285.95,287.75,289.233104799216454456,1021,47,295307.00,804,78.75,19.05,-17.25
13-July-2016,307.00,307.00,289.75,290.15,292.730184147317854283,1249,122,365620.00,693,55.48,17.25,-16.85
12-July-2016,307.75,307.80,292.10,294.45,297.596563171255614137,5121,140,1523992.00,3557,69.46,15.70,-13.30
11-July-2016,297.15,308.00,297.15,304.65,303.522592592592592592,2700,166,819511.00,1132,41.93,10.85,7.50
8-July-2016,302.00,302.95,290.10,294.30,296.173324944951242529,3179,165,941535.00,1077,33.88,12.85,-7.70
7-July-2016,300.90,304.00,297.00,300.40,300.105108631826189078,3406,108,1022158.00,2405,70.61,7.00,-0.50
5-July-2016,301.75,302.50,295.95,296.10,300.048582995951417004,988,90,296448.00,489,49.49,6.55,-5.65
4-July-2016,295.10,308.00,295.00,298.65,302.100955714093417687,7429,365,2244308.00,2620,35.27,13.00,3.55
1-July-2016,291.45,298.10,288.00,294.60,295.179158316633266533,2495,153,736472.00,1405,56.31,10.10,3.15
30-June-2016,293.60,296.00,291.20,292.65,293.896461824953445065,2685,159,789112.00,1470,54.75,4.80,-0.95
29-June-2016,292.00,301.70,291.00,295.20,297.848762798634812286,9376,468,2792630.00,5184,55.29,10.70,3.20
28-June-2016,287.90,291.30,285.50,287.35,289.040435458786936236,2572,59,743412.00,2304,89.58,5.80,-0.55
27-June-2016,284.30,293.40,283.60,285.65,289.108341028008618036,3249,113,939313.00,1857,57.16,9.80,1.35
24-June-2016,271.10,284.95,269.40,281.40,276.661050545094152626,4036,243,1116604.00,1845,45.71,15.55,10.30
23-June-2016,291.00,292.00,286.00,288.65,289.331543624161073825,745,33,215552.00,484,64.97,6.00,-2.35
22-June-2016,292.50,294.50,285.00,286.90,287.698624426844518549,2399,127,690189.00,1465,61.07,9.50,-5.60
21-June-2016,295.65,298.80,291.50,291.80,293.840599455040871934,1468,56,431358.00,795,54.16,7.30,-3.85
20-June-2016,290.40,296.65,290.40,294.55,294.669375317420010157,1969,69,580204.00,1496,75.98,6.25,4.15
17-June-2016,299.90,300.15,292.50,295.10,295.521076233183856502,1115,55,329506.00,640,57.40,7.65,-4.80
16-June-2016,299.85,300.45,293.00,296.00,298.103962338171832091,2549,149,759867.00,1291,50.65,7.45,-3.85
15-June-2016,299.50,306.95,299.00,301.35,303.276675603217158176,1865,110,565611.00,719,38.55,7.95,1.85
14-June-2016,295.15,308.25,294.15,300.25,302.197253433208489388,1602,117,484120.00,642,40.07,14.10,5.10
13-June-2016,294.25,298.00,291.85,295.45,294.187660668380462724,3501,196,1029951.00,1632,46.62,6.15,1.20
10-June-2016,300.95,306.35,295.00,296.55,300.281175059952038369,1668,124,500869.00,975,58.45,11.35,-4.40
9-June-2016,309.00,309.45,298.00,299.80,301.555073250135648399,5529,318,1667298.00,2822,51.04,11.45,-9.20
8-June-2016,317.95,317.95,310.50,313.45,314.063022019741837509,6585,364,2068105.00,3177,48.25,7.45,-4.50
7-June-2016,294.05,328.80,294.05,314.95,317.060004645520943556,38747,2050,12285124.00,9639,24.88,34.75,20.90
6-June-2016,291.00,298.00,288.50,291.30,291.876819126819126819,1924,108,561571.00,1052,54.68,9.50,0.30
3-June-2016,295.70,296.00,291.00,291.15,291.720611916264090177,1242,74,362317.00,861,69.32,5.00,-4.55
2-June-2016,289.30,294.85,289.30,291.30,292.422298751614291863,2323,100,679297.00,1454,62.59,5.55,2.00
1-June-2016,294.00,297.00,290.15,291.25,293.534421575585521646,1409,103,413590.00,428,30.38,6.85,-2.75
31-May-2016,292.45,297.05,289.10,291.75,292.873239436619718309,2982,217,873348.00,1379,46.24,7.95,-0.70
30-May-2016,300.00,304.30,292.00,293.10,295.638888888888888888,3240,159,957870.00,1825,56.33,12.30,-6.90
27-May-2016,294.25,306.00,289.00,299.20,298.234474753337202553,8615,678,2569290.00,2651,30.77,17.00,4.95
26-May-2016,305.00,305.00,290.55,292.00,296.036750483558994197,5170,306,1530510.00,1959,37.89,14.45,-13.00
25-May-2016,304.00,313.00,302.40,309.25,307.866791243993593166,3746,219,1153269.00,1515,40.44,10.60,5.25
24-May-2016,304.25,304.25,289.10,296.15,295.999878758486905916,8248,428,2441407.00,4583,55.56,15.15,-8.10
23-May-2016,290.00,307.80,290.00,299.30,304.249107142857142857,3360,169,1022277.00,1975,58.78,17.80,9.30
20-May-2016,302.00,312.40,299.60,302.30,304.560421735604217356,4932,333,1502092.00,2934,59.49,12.80,0.30
19-May-2016,309.90,309.90,290.00,298.50,303.010191846522781774,1668,112,505421.00,1160,69.54,19.90,-11.40
18-May-2016,308.30,311.90,303.10,307.30,308.431876606683804627,1556,150,479920.00,505,32.46,8.80,-1.00
17-May-2016,309.10,317.00,307.50,308.40,310.678362573099415204,4275,327,1328150.00,1314,30.74,9.50,-0.70
16-May-2016,309.40,313.00,304.20,305.60,308.185679935880309911,3743,219,1153539.00,1653,44.16,8.80,-3.80
13-May-2016,308.50,320.00,304.00,307.90,311.686007155981046320,10341,778,3223145.00,2227,21.54,16.00,-0.60
12-May-2016,307.50,316.50,302.00,309.80,311.608455068614431164,9036,626,2815694.00,3052,33.78,14.50,2.30
11-May-2016,303.90,311.40,301.80,304.50,306.696714406065711878,4748,264,1456196.00,1649,34.73,9.60,0.60
10-May-2016,313.90,318.00,305.00,306.60,312.438115330520393811,5688,304,1777148.00,1049,18.44,13.00,-7.30
9-May-2016,314.80,320.60,310.70,311.90,314.563465783664459161,5436,462,1709967.00,1545,28.42,9.90,-2.90
6-May-2016,310.20,322.50,305.00,311.90,317.219394836679929675,10807,819,3428190.00,2255,20.87,17.50,1.70
5-May-2016,305.90,322.00,305.90,313.00,314.276823117038556894,11697,858,3676096.00,2254,19.27,16.10,7.10
4-May-2016,316.10,324.80,306.60,308.50,315.305799055967633175,11864,660,3740788.00,5165,43.54,18.20,-7.60
3-May-2016,316.10,330.00,314.80,317.10,323.373850807055370886,33393,1888,10798423.00,8603,25.76,15.20,1.00
2-May-2016,311.30,323.40,310.00,314.50,316.180354069338578805,8134,556,2571811.00,3002,36.91,13.40,3.20
29-April-2016,310.00,347.90,309.60,317.20,334.390500787849348987,84407,4088,28224899.00,7463,8.84,38.30,7.20
28-April-2016,325.80,328.80,311.50,315.10,319.317035764677013680,32602,1657,10410374.00,8418,25.82,17.30,-10.70
27-April-2016,286.50,337.00,283.50,324.10,323.169826092402764149,95798,3860,30959023.00,14834,15.48,53.50,37.60
26-April-2016,284.50,286.60,281.90,285.80,284.632163482896490448,2251,146,640707.00,435,19.32,4.70,1.30
25-April-2016,287.10,288.00,281.40,284.00,283.835230866540164452,3162,123,897487.00,1720,54.40,6.60,-3.10
22-April-2016,284.10,291.40,284.10,286.40,289.111577181208053691,2384,105,689242.00,1278,53.61,7.30,2.30
21-April-2016,296.20,299.90,285.00,286.10,289.347268530392408309,3899,124,1128165.00,3091,79.28,14.90,-10.10
20-April-2016,300.00,303.10,288.10,295.10,295.723351158645276292,2805,201,829504.00,425,15.15,15.00,-4.90
18-April-2016,319.00,319.00,297.10,299.80,301.404827207899067471,1823,70,549461.00,1370,75.15,21.90,-19.20
13-April-2016,312.70,315.00,305.70,307.80,309.940114243596830661,5427,303,1682045.00,3038,55.98,9.30,-4.90
12-April-2016,314.90,314.90,301.60,310.30,308.473894189071986123,5765,325,1778352.00,2292,39.76,13.30,-4.60
11-April-2016,314.70,316.30,304.90,307.30,309.804193709435846230,10015,696,3102689.00,3460,34.55,11.40,-7.40
8-April-2016,297.00,303.30,295.90,297.60,299.774025385312783318,4412,283,1322603.00,1362,30.87,7.40,0.60
7-April-2016,304.70,310.90,293.00,297.00,303.090525482956418540,15167,665,4596974.00,5257,34.66,17.90,-7.70
6-April-2016,293.80,308.20,291.90,304.60,300.160944484031871477,30874,1295,9267169.00,10474,33.92,16.30,10.80
5-April-2016,293.70,301.70,285.80,292.50,295.068933539412673879,9705,552,2863644.00,4369,45.02,15.90,-1.20
4-April-2016,268.30,309.00,265.50,299.70,295.449089835336621969,57572,3965,17009595.00,14135,24.55,43.50,31.40
1-April-2016,269.50,276.40,269.50,273.90,273.680318091451292246,2515,233,688306.00,1018,40.48,6.90,4.40
31-March-2016,273.40,278.50,269.40,270.10,272.423689320388349514,5150,227,1402982.00,1442,28.00,9.10,-3.30
30-March-2016,269.00,275.00,267.60,271.30,273.109794153071279973,36532,209,9977247.00,32907,90.08,7.40,2.30
29-March-2016,274.20,279.50,263.50,267.50,267.664102119794374169,86565,406,23170343.00,82658,95.49,16.00,-6.70
28-March-2016,263.00,300.80,263.00,271.80,284.285893183976220292,72667,3918,20658203.00,5651,7.78,37.80,8.80
23-March-2016,265.40,271.60,258.60,267.00,265.401065956029313790,7505,390,1991835.00,1805,24.05,13.00,1.60
22-March-2016,255.00,273.50,252.30,261.40,263.938707240746735728,9267,490,2445920.00,1541,16.63,21.20,6.40
21-March-2016,265.60,266.00,253.00,257.30,259.949394939493949394,4545,212,1181470.00,1394,30.67,13.00,-8.30
18-March-2016,261.40,269.10,261.20,262.60,263.170079398244880902,2393,100,629766.00,1352,56.50,7.90,1.20
17-March-2016,245.20,274.40,244.80,257.70,258.173427991886409736,12818,809,3309267.00,2449,19.11,29.60,12.50
16-March-2016,245.40,248.00,235.00,246.60,240.196569974972305419,24373,352,5854311.00,20408,83.73,13.00,1.20
15-March-2016,255.70,267.00,243.20,249.50,249.695589012150026413,15144,293,3781390.00,10003,66.05,23.80,-6.20
14-March-2016,257.90,263.00,252.30,253.50,255.054650339034510677,9881,227,2520195.00,7473,75.63,10.70,-4.40
11-March-2016,262.00,264.60,252.00,253.40,257.550764006791171477,2945,185,758487.00,1346,45.70,12.60,-8.60
10-March-2016,261.90,269.70,259.70,261.80,263.411680032901501130,4863,181,1280971.00,2050,42.16,10.00,-0.10
9-March-2016,257.00,269.00,255.00,258.70,261.866315635512651747,6837,277,1790380.00,2784,40.72,14.00,1.70
8-March-2016,264.00,273.20,258.00,259.10,263.750318471337579617,3140,184,828176.00,1353,43.09,15.20,-4.90
4-March-2016,257.80,269.50,253.00,263.50,261.744803009305088101,5051,255,1322073.00,941,18.63,16.50,5.70
3-March-2016,274.90,275.30,260.40,263.60,267.782621502209131075,13580,580,3636488.00,6555,48.27,14.90,-11.30
2-March-2016,241.00,279.00,239.60,265.60,258.474439897343414025,14417,850,3726426.00,5630,39.05,39.40,24.60
1-March-2016,220.00,236.20,220.00,234.80,228.690207795735433926,7363,544,1683846.00,4258,57.83,16.20,14.80
29-February-2016,230.00,232.10,198.50,215.70,215.040539610434303806,14529,768,3124324.00,4753,32.71,33.60,-14.30
26-February-2016,239.20,244.30,229.00,229.90,237.248151658767772511,5275,257,1251484.00,2057,39.00,15.30,-9.30
25-February-2016,238.30,243.50,236.10,237.30,239.789450835684827436,4607,258,1104710.00,1130,24.53,7.40,-1.00
24-February-2016,245.90,246.10,237.10,238.90,241.420031055900621118,1288,110,310949.00,677,52.56,9.00,-7.00
23-February-2016,257.20,257.40,245.20,247.70,253.269345430978613091,7715,428,1953973.00,852,11.04,12.20,-9.50
22-February-2016,253.10,258.00,252.50,255.30,254.622073578595317725,4186,211,1065848.00,596,14.24,5.50,2.20
19-February-2016,255.00,257.10,250.00,251.00,251.533043972510721851,19353,228,4867919.00,16368,84.58,7.10,-4.00
18-February-2016,261.00,264.00,253.60,258.70,258.994702157901537666,7739,568,2004360.00,1235,15.96,10.40,-2.30
17-February-2016,260.40,260.40,245.30,255.70,252.151676423629590207,5637,353,1421379.00,620,11.00,15.10,-4.70
16-February-2016,270.00,275.00,252.00,254.90,266.098148426915550203,6643,432,1767690.00,740,11.14,23.00,-15.10
15-February-2016,245.00,270.50,245.00,265.30,257.370561652679147837,6196,358,1594668.00,2226,35.93,25.50,20.30
12-February-2016,264.90,265.60,230.60,238.90,241.692160611854684512,11506,514,2780910.00,6309,54.83,35.00,-26.00
11-February-2016,267.20,267.20,248.80,251.20,256.021995464852607709,4410,541,1129057.00,2443,55.40,18.40,-16.00
10-February-2016,280.00,281.30,266.00,267.70,273.985194883674086010,9929,432,2720399.00,1944,19.58,15.30,-12.30
9-February-2016,282.50,286.00,277.50,279.90,279.931013916500994035,10060,321,2816106.00,3355,33.35,8.50,-2.60
8-February-2016,294.10,294.10,281.80,284.90,287.688214285714285714,2800,121,805527.00,1188,42.43,12.30,-9.20
5-February-2016,282.20,291.70,282.00,288.20,287.884860840276546711,11282,677,3247917.00,2024,17.94,9.70,6.00
4-February-2016,292.10,295.60,277.00,279.50,284.608139876579488686,6806,399,1937043.00,1955,28.72,18.60,-12.60
3-February-2016,279.20,292.10,272.70,288.10,284.912627110277421265,10129,656,2885880.00,2001,19.76,19.40,8.90
2-February-2016,306.00,310.00,287.10,292.20,300.334227387870660110,6711,491,2015543.00,1213,18.07,22.90,-13.80
1-February-2016,302.40,317.30,297.90,302.70,306.610913953607982307,19443,1026,5961436.00,3760,19.34,19.40,0.30
29-January-2016,299.00,303.20,292.50,295.70,298.336861768368617683,6424,293,1916516.00,2537,39.49,10.70,-3.30
28-January-2016,287.00,312.70,287.00,297.30,300.497298679709727949,31281,1766,9399856.00,2656,8.49,25.70,10.30
27-January-2016,286.50,293.70,282.40,286.80,289.099751374971747155,13273,657,3837221.00,3164,23.84,11.30,0.30
25-January-2016,281.90,309.00,280.80,285.00,291.502281424786576390,40764,2502,11882799.00,3816,9.36,28.20,3.10
22-January-2016,272.00,288.10,272.00,278.50,280.642236515459264274,17724,1069,4974103.00,4593,25.91,16.10,6.50
21-January-2016,269.60,278.20,261.00,265.40,266.536948266201830293,16063,1229,4281383.00,2682,16.70,17.20,-4.20
20-January-2016,264.40,267.80,250.00,257.70,262.207953063885267275,4602,263,1206681.00,2316,50.33,17.80,-6.70
19-January-2016,272.00,282.60,255.00,274.20,272.223549744514577697,13308,591,3622751.00,6467,48.59,27.60,2.20
18-January-2016,294.00,294.00,265.00,268.00,278.988186114140312613,11004,662,3069986.00,3023,27.47,29.00,-26.00
15-January-2016,318.80,328.10,283.20,293.20,308.340384890883911943,20941,1207,6456956.00,4246,20.28,44.90,-25.60
14-January-2016,313.80,327.50,312.00,315.50,319.463172930988304615,11201,751,3578307.00,3161,28.22,15.50,1.70
13-January-2016,346.10,350.00,311.00,326.60,333.684063633826402456,39413,2093,13151490.00,11163,28.32,39.00,-19.50
12-January-2016,346.90,360.90,334.40,339.90,348.816178736517719568,32450,1388,11319085.00,6637,20.45,26.50,-7.00
11-January-2016,345.50,351.20,342.00,343.70,346.379575981037661311,15188,718,5260813.00,3233,21.29,9.20,-1.80
8-January-2016,344.50,367.00,332.80,353.30,353.808626313881841246,91047,4691,32213214.00,11348,12.46,34.20,8.80
7-January-2016,350.00,350.00,328.70,332.40,338.334364048649762935,24255,1187,8206300.00,6253,25.78,21.30,-17.60
6-January-2016,358.30,362.20,347.00,350.30,355.912629190824300478,19835,930,7059527.00,4434,22.35,15.20,-8.00
5-January-2016,359.50,366.20,350.00,356.60,359.201013695675617383,18546,811,6661742.00,8837,47.65,16.20,-2.90
